"Code","Country","Continent","Date","NewCases","NewDeaths","Recovered","NewTests","Population","GDP","GDPCapita","Month","Week","CumCases","CumDeaths","CumRecovered","CumTests","Active","FatalityRate","Cases_1M_Pop","Deaths_1M_Pop","Recovered_1M_Pop","Tests_1M_Pop"
"KGZ","Kyrgyzstan","Asia",2020-05-05,13,1,0,0,6315800,7564,1251,5,18,843,11,0,0,832,1.30486358244365,133.474777542037,1.74166376389373,0,0
"LAO","Laos","Asia",2020-05-05,0,0,0,0,7061507,16853,2457,5,18,19,0,0,0,19,0,2.69064379600558,0,0,0
"LVA","Latvia","Europe",2020-05-05,17,0,0,686,1926542,30463,15625,5,18,896,16,0,66150,880,1.78571428571429,465.081996655147,8.30503565455619,0,34336.1317843058
"LBN","Lebanon","Asia",2020-05-05,3,0,0,0,6848925,53393,8778,5,18,740,25,0,0,715,3.37837837837838,108.046153228426,3.65020787933873,0,0
"LBR","Liberia","Africa",2020-05-05,8,0,0,0,4818977,2122,584,5,18,166,18,0,0,148,10.8433734939759,34.4471451098439,3.73523260227222,0,0
"LBY","Libya","Africa",2020-05-05,0,0,0,0,6678567,25127,3942,5,18,63,3,0,0,60,4.76190476190476,9.43316133535832,0.449198158826587,0,0
"LIE","Liechtenstein","Europe",2020-05-05,0,0,0,0,37910,6295,166022,5,18,83,1,0,0,82,1.20481927710843,2189.3959377473,26.3782643102084,0,0
"LTU","Lithuania","Europe",2020-05-05,9,0,0,5077,2789533,47544,16450,5,18,1419,46,0,149106,1373,3.24171952078929,508.687296404093,16.4902153873068,0,53451.9577291253
"LUX","Luxembourg","Europe",2020-05-05,4,0,0,960,607728,62316,106806,5,18,3828,96,0,49299,3732,2.50783699059561,6298.87054735013,157.965405576179,0,81120.1721822921
"MKD","Macedonia","Europe",2020-05-05,7,1,0,0,2082958,11279,5415,5,18,1518,85,0,0,1433,5.59947299077734,728.771295436586,40.8073518525097,0,0
"MDG","Madagascar","Africa",2020-05-05,0,0,0,0,26262368,10674,517,5,18,149,0,0,0,149,0,5.67351733095812,0,0,0
"MWI","Malawi","Africa",2020-05-05,2,0,0,0,18143315,6339,340,5,18,41,3,0,0,38,7.31707317073171,2.25978549124016,0.165350157895622,0,0
"MYS","Malaysia","Asia",2020-05-05,55,0,0,7622,31528585,314707,9951,5,18,6353,105,0,213220,6248,1.65276247442153,201.499686712867,3.33031120806722,0,6762.7519598485
"MDV","Maldives","Asia",2020-05-05,24,0,0,0,515696,3032,11151,5,18,551,1,0,0,550,0.181488203266788,1068.45893704818,1.93912692749217,0,0
"MLI","Mali","Africa",2020-05-05,17,2,0,0,19077690,15235,822,5,18,580,29,0,0,551,5,30.4020035968715,1.52010017984358,0,0
"MLT","Malta","Europe",2020-05-05,3,0,0,0,483530,12553,29137,5,18,480,4,0,0,476,0.833333333333333,992.699522263355,8.27249601886129,0,0
"MRT","Mauritania","Africa",2020-05-05,0,0,0,0,4403319,5092,1129,5,18,8,1,0,0,7,12.5,1.81681136433677,0.227101420542096,0,0
"MUS","Mauritius","Africa",2020-05-05,0,0,0,0,1265303,13366,10565,5,18,334,10,0,0,324,2.9940119760479,263.968393341358,7.90324530962149,0,0
"MEX","Mexico","North America",2020-05-05,1434,117,0,0,126190788,1158229,8967,5,18,24905,2271,0,86898,22634,9.11865087331861,197.359889693374,17.9965593051055,0,688.623958826535
"MDA","Moldova","Europe",2020-05-05,127,7,0,0,3545883,8128,2006,5,18,4248,132,0,0,4116,3.10734463276836,1198.0090713653,37.2262705791477,0,0
"MCO","Monaco","Europe",2020-05-05,0,0,0,0,38682,6400,165421,5,18,95,4,0,0,91,4.21052631578947,2455.92265136239,103.407269531048,0,0
"MNG","Mongolia","Asia",2020-05-05,1,0,0,0,3170208,11135,3620,5,18,41,0,0,0,41,0,12.9329053487973,0,0,0
"MNE","Montenegro","Europe",2020-05-05,1,0,0,0,622345,4588,6958,5,18,323,8,0,0,315,2.47678018575851,519.004732101969,12.8546063678506,0,0
"MSR","Montserrat","North America",2020-05-05,0,0,0,0,5900,63,11582,5,18,11,1,0,0,10,9.09090909090909,1864.40677966102,169.491525423729,0,0
"MAR","Morocco","Africa",2020-05-05,140,5,0,0,36029138,109708,3070,5,18,5043,179,0,37006,4864,3.54947451913544,139.970043135642,4.96820101552249,0,1027.11311050517
"MOZ","Mozambique","Africa",2020-05-05,0,0,0,0,29495962,12651,426,5,18,80,0,0,0,80,0,2.71223566127458,0,0,0
"MMR","Myanmar","Asia",2020-05-05,6,0,0,0,53708395,67101,1257,5,18,161,6,0,9038,155,3.72670807453416,2.99766917257535,0.111714379102187,0,168.279093054261
"NAM","Namibia","Africa",2020-05-05,0,0,0,0,2448255,13244,5227,5,18,16,0,0,0,16,0,6.53526695544378,0,0,0
"NPL","Nepal","Asia",2020-05-05,7,0,0,0,28087871,24870,849,5,18,82,0,0,13640,82,0,2.91940959142115,0,0,485.618863743713
"NLD","Netherlands","Europe",2020-05-05,199,26,0,0,17231017,830572,48754,5,18,40770,5082,0,235909,35688,12.4650478292862,2366.08204843626,294.933259017735,0,13690.9504528955
"NCL","New Caledonia","Oceania",2020-05-05,0,0,0,0,284060,9894,35815,5,18,18,0,0,0,18,0,63.3668943181018,0,0,0
"NZL","New Zealand","Oceania",2020-05-05,2,0,0,0,4885500,202044,42936,5,18,1489,20,0,155928,1469,1.34318334452653,304.779449391055,4.09374680176031,0,31916.4875652441
"NIC","Nicaragua","North America",2020-05-05,1,0,0,0,6465513,13814,2222,5,18,15,5,0,0,10,33.3333333333333,2.320001521921,0.773333840640333,0,0
"NER","Niger","Africa",2020-05-05,5,1,0,0,22442948,8119,378,5,18,755,37,0,0,718,4.90066225165563,33.6408568072251,1.64862477068521,0,0
"NGA","Nigeria","Africa",2020-05-05,244,6,0,976,195874740,375769,1969,5,18,2802,93,0,19512,2709,3.31905781584582,14.3050604687465,0.474793227549402,0,99.6146823219778
"MNP","Northern Mariana Islands","Oceania",2020-05-05,0,0,0,0,56882,1393,24500,5,18,14,2,0,0,12,14.2857142857143,246.12355402412,35.1605077177314,0,0
"NOR","Norway","Europe",2020-05-05,38,0,0,7372,5314336,399470,75295,5,18,7847,208,0,189657,7639,2.65069453294253,1476.57204964082,39.1394145947866,0,35687.8074702089
"OMN","Oman","Asia",2020-05-05,69,0,0,0,4829483,70783,15267,5,18,2637,12,0,0,2625,0.455062571103527,546.021178664466,2.4847380144003,0,0
"PAK","Pakistan","Asia",2020-05-05,1315,24,0,9893,212215030,302139,1534,5,18,21501,486,0,222404,21015,2.26035998325659,101.317046205445,2.29012996864548,0,1048.01248054862
"PSE","Palestine","Asia",2020-05-05,2,0,0,0,4569087,14498,2946,5,18,524,4,0,0,520,0.763358778625954,114.683743163569,0.875448421095943,0,0
"PAN","Panama","North America",2020-05-05,190,3,0,0,4176873,61838,15088,5,18,7387,203,0,35556,7184,2.7480709354271,1768.54790653199,48.6009509985101,0,8512.58824484249
"PNG","Papua New Guinea","Oceania",2020-05-05,0,0,0,0,8606316,22005,2667,5,18,8,0,0,0,8,0,0.929549879414142,0,0,0
"PRY","Paraguay","South America",2020-05-05,19,0,0,458,6956071,29435,4322,5,18,415,10,0,11898,405,2.40963855421687,59.6601156026153,1.43759314705097,0,1710.44832636125
"PER","Peru","South America",2020-05-05,1444,58,0,21087,31989256,211402,6572,5,18,47372,1344,0,406579,46028,2.83711897323313,1480.8722028421,42.0141062361688,0,12709.8610858596
"PHL","Philippines","Asia",2020-05-05,262,16,0,0,106651922,313595,2989,5,18,9485,623,0,119512,8862,6.56826568265683,88.9341684812769,5.84143246851191,0,1120.57989916019
"POL","Poland","Europe",2020-05-05,313,20,0,10466,37978548,526211,13786,5,18,14006,698,0,394270,13308,4.98357846637156,368.787137412415,18.3787963668332,0,10381.3868818787
